2015-10-06T14:02:44.526+0200 I NETWORK  [conn20] end connection 127.0.0.1:60425 (4 connections now open)
2015-10-06T14:02:44.526+0200 I NETWORK  [conn19] end connection 127.0.0.1:60424 (4 connections now open)
2015-10-06T14:02:44.526+0200 I NETWORK  [conn22] end connection 127.0.0.1:60427 (4 connections now open)
2015-10-06T14:02:44.526+0200 I NETWORK  [conn18] end connection 127.0.0.1:60423 (4 connections now open)
2015-10-06T14:02:44.526+0200 I NETWORK  [conn21] end connection 127.0.0.1:60426 (2 connections now open)
2015-10-06T14:02:45.221+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60428 #23 (1 connection now open)
2015-10-06T14:02:45.222+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60429 #24 (2 connections now open)
2015-10-06T14:02:45.223+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60430 #25 (3 connections now open)
2015-10-06T14:02:45.223+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60431 #26 (4 connections now open)
2015-10-06T14:02:45.223+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60432 #27 (5 connections now open)
2015-10-06T14:03:12.380+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60434 #28 (6 connections now open)
2015-10-06T14:03:12.394+0200 I NETWORK  [conn28] end connection 127.0.0.1:60434 (5 connections now open)
2015-10-06T14:03:12.399+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60435 #29 (6 connections now open)
2015-10-06T14:03:12.400+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60436 #30 (7 connections now open)
2015-10-06T14:03:12.401+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60437 #31 (8 connections now open)
2015-10-06T14:03:12.402+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60438 #32 (9 connections now open)
2015-10-06T14:03:12.403+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60439 #33 (10 connections now open)
2015-10-06T14:03:12.413+0200 I NETWORK  [conn29] end connection 127.0.0.1:60435 (9 connections now open)
2015-10-06T14:03:12.413+0200 I NETWORK  [conn30] end connection 127.0.0.1:60436 (9 connections now open)
2015-10-06T14:03:12.413+0200 I NETWORK  [conn31] end connection 127.0.0.1:60437 (9 connections now open)
2015-10-06T14:03:12.413+0200 I NETWORK  [conn32] end connection 127.0.0.1:60438 (7 connections now open)
